[lts] 2026-05-14 10:03:55,556 INFO [main] com.github.ltsopensource.core.logger.slf4j.Slf4jLogger.info(44) | using logger: com.github.ltsopensource.core.logger.slf4j.Slf4jLoggerAdapter
[lts] 2026-05-14 10:03:55,630 INFO [main] com.github.ltsopensource.core.logger.slf4j.Slf4jLogger.info(44) | Using JSON lib fastjson, lts version: 1.7.3-SNAPSHOT, current host: 192.168.64.1
[lts] 2026-05-14 10:03:55,715 INFO [main] com.github.ltsopensource.core.logger.slf4j.Slf4jLogger.info(52) | Current Node config :{"available":true,"clusterName":"test_cluster","dataPath":"/Users/owenjia","identity":"TT_192.168.64.1_19784_10-03-55.606_1","invokeTimeoutMillis":60000,"ip":"192.168.64.1","listenPort":0,"nodeGroup":"test_trade_taskTracker","nodeType":"TASK_TRACKER","parameters":{"job.fail.store":"leveldb"},"registryAddress":"redis://127.0.0.1:6379","workThreads":10}, lts version: 1.7.3-SNAPSHOT, current host: 192.168.64.1
[lts] 2026-05-14 10:03:55,766 INFO [main] com.github.ltsopensource.core.logger.slf4j.Slf4jLogger.info(44) | HttpCmdAcceptor start succeed , lts version: 1.7.3-SNAPSHOT, current host: 192.168.64.1
[lts] 2026-05-14 10:03:55,766 INFO [main] com.github.ltsopensource.core.logger.slf4j.Slf4jLogger.info(52) | 
===========================================================================================
Start succeed at port 8721
===========================================================================================, lts version: 1.7.3-SNAPSHOT, current host: 192.168.64.1
[lts] 2026-05-14 10:03:56,047 INFO [main] com.github.ltsopensource.core.logger.slf4j.Slf4jLogger.info(44) | Start JVMMonitor succeed , lts version: 1.7.3-SNAPSHOT, current host: 192.168.64.1
[lts] 2026-05-14 10:03:56,051 INFO [main] com.github.ltsopensource.core.logger.slf4j.Slf4jLogger.info(44) | MStatReporter start succeed., lts version: 1.7.3-SNAPSHOT, current host: 192.168.64.1
[lts] 2026-05-14 10:03:56,065 INFO [main] com.github.ltsopensource.core.logger.slf4j.Slf4jLogger.info(52) | Current failStore path is /Users/owenjia/.lts/TASK_TRACKER/test_trade_taskTracker/job_feedback_failstore/leveldb/TT_192.168.64.1_19784_10-03-55.606_1, lts version: 1.7.3-SNAPSHOT, current host: 192.168.64.1
[lts] 2026-05-14 10:03:56,703 INFO [main] com.github.ltsopensource.core.logger.slf4j.Slf4jLogger.info(52) | Start JobPushProcessor RetryScheduler success, identity=[TT_192.168.64.1_19784_10-03-55.606_1], lts version: 1.7.3-SNAPSHOT, current host: 192.168.64.1
[lts] 2026-05-14 10:03:56,741 INFO [main] com.github.ltsopensource.core.logger.slf4j.Slf4jLogger.info(44) | Subscribe: {"address":"192.168.64.1:0","available":true,"clusterName":"test_cluster","createTime":1778724235621,"group":"test_trade_taskTracker","hostName":"192.168.64.1","httpCmdPort":8721,"identity":"TT_192.168.64.1_19784_10-03-55.606_1","ip":"192.168.64.1","listenNodeTypes":["JOB_TRACKER","TASK_TRACKER","MONITOR"],"nodeType":"TASK_TRACKER","port":0,"threads":10}, lts version: 1.7.3-SNAPSHOT, current host: 192.168.64.1
[lts] 2026-05-14 10:03:56,754 INFO [LTSRedisSubscribe] com.github.ltsopensource.core.logger.slf4j.Slf4jLogger.info(52) | Registry available, lts version: 1.7.3-SNAPSHOT, current host: 192.168.64.1
[lts] 2026-05-14 10:03:56,783 INFO [main] com.github.ltsopensource.core.logger.slf4j.Slf4jLogger.info(52) | createChannel: begin to connect remote host[192.168.64.1:3502] asynchronously, lts version: 1.7.3-SNAPSHOT, current host: 192.168.64.1
[lts] 2026-05-14 10:03:56,791 INFO [NettyClientWorkerThread_-thread-1] com.github.ltsopensource.core.logger.slf4j.Slf4jLogger.info(52) | CLIENT : CONNECT  UNKNOW => /192.168.64.1:3502, lts version: 1.7.3-SNAPSHOT, current host: 192.168.64.1
[lts] 2026-05-14 10:03:56,797 INFO [main] com.github.ltsopensource.core.logger.slf4j.Slf4jLogger.info(52) | createChannel: connect remote host[192.168.64.1:3502] success, com.github.ltsopensource.remoting.netty.NettyChannelFuture@1dde4cb2, lts version: 1.7.3-SNAPSHOT, current host: 192.168.64.1
[lts] 2026-05-14 10:03:56,905 INFO [LTS-InjvmEventCenter-Executor-thread-2] com.github.ltsopensource.core.logger.slf4j.Slf4jLogger.info(44) | Start Job pull machine success!, lts version: 1.7.3-SNAPSHOT, current host: 192.168.64.1
[lts] 2026-05-14 10:03:56,922 INFO [main] com.github.ltsopensource.core.logger.slf4j.Slf4jLogger.info(52) | Add {"address":"192.168.64.1:3502","available":true,"clusterName":"test_cluster","createTime":1778724169871,"group":"lts","hostName":"192.168.64.1","httpCmdPort":8720,"identity":"JT_192.168.64.1_19709_10-02-49.861_1","ip":"192.168.64.1","nodeType":"JOB_TRACKER","port":3502,"threads":64}, lts version: 1.7.3-SNAPSHOT, current host: 192.168.64.1
[lts] 2026-05-14 10:03:56,926 INFO [main] com.github.ltsopensource.core.logger.slf4j.Slf4jLogger.info(52) | Add {"address":"192.168.64.1:8730","available":true,"clusterName":"test_cluster","createTime":1778724224369,"group":"lts","hostName":"192.168.64.1","httpCmdPort":8730,"identity":"MO_192.168.64.1_19759_10-03-43.420_1","ip":"192.168.64.1","nodeType":"MONITOR","port":8730,"threads":64}, lts version: 1.7.3-SNAPSHOT, current host: 192.168.64.1
[lts] 2026-05-14 10:03:56,926 INFO [main] com.github.ltsopensource.core.logger.slf4j.Slf4jLogger.info(44) | Register: {"address":"192.168.64.1:0","available":true,"clusterName":"test_cluster","createTime":1778724235621,"group":"test_trade_taskTracker","hostName":"192.168.64.1","httpCmdPort":8721,"identity":"TT_192.168.64.1_19784_10-03-55.606_1","ip":"192.168.64.1","listenNodeTypes":["JOB_TRACKER","TASK_TRACKER","MONITOR"],"nodeType":"TASK_TRACKER","port":0,"threads":10}, lts version: 1.7.3-SNAPSHOT, current host: 192.168.64.1
[lts] 2026-05-14 10:03:56,928 INFO [LTSRedisSubscribe] com.github.ltsopensource.core.logger.slf4j.Slf4jLogger.info(44) | redis event: /LTS/test_cluster/NODES/TASK_TRACKER = register, lts version: 1.7.3-SNAPSHOT, current host: 192.168.64.1
